###########Decisions#####################
reciting_sutras;Recite a Sutra;;;;;;;;;;;;;x
reciting_sutras_desc;As an observant Buddhist, you often feel great pressure to rule your kingship in line with Dharma perhaps it is time to return to the sayings of Buddha for a bit clarity.;;;;;;;;;;;;;x
###########Character Modifiers###########
resolute_peace;Resolute Peace;;;;;;;;;;;;;x
resolute_peace_desc;This character has read a sutra, which has created a sense of ease and rejuvenation in thier kingship.;;;;;;;;;;;;;x
wise_sayings;Wise Sayings;;;;;;;;;;;;;x
wise_sayings_desc;This character has read a sutra, which has created a clearer sense of understanding of dharma and thier kingship.;;;;;;;;;;;;;x
karmic_fury;Karmic Fury;;;;;;;;;;;;;x
karmic_fury_desc;This character has read a sutra, which has espouses their kingship and thier role as earthly judges of Karma and Dharma.;;;;;;;;;;;;;x
tending_lotus;Tending Gardens;;;;;;;;;;;;;x
tending_lotus_desc;This character has read a sutra for which life is of particular importance and thus they cultivate a garden in accordance to Dharma.;;;;;;;;;;;;;x
###########Reading and Reciting Sutras###########
budevent1_title;A Tranquil Recollection;;;;;;;;;;;;;x
budevent1_desc;As a pious buddhist and ruler, you often wrestle as the Buddha did in tending to the worldly endeavors and the pursuit of Enlightment. Both roles seemingly in opposites you have retired to your room for the night to contemplate. You rest upon a mat and produced a copy of the [Root.Religion.GetScriptureName] and begin sifting through the myraid of sutras and wise teachings of the Buddha and his students for something that may answer your current conundrum. Your hands quiver as the dim glow of the candle drew your eyes to one sutra that seems to be the answer you seek.;;;;;;;;;;;;;x
EVTOPTA_budevent1;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
EVTOPTB_budevent1;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
EVTOPTC_budevent1;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
EVTOPTD_budevent1;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
EVTOPTE_budevent1;Perhaps I should rest...;;;;;;;;;;;;;x
budevent2_title;An Auspicious Sutra;;;;;;;;;;;;;x
MAHAYANA_SUTRA_1;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n\n"As you just said, your love was caused by your mind and eyes but if you do not knowwhere your mind and eyes really are, you will never be able to destroy delusion. For instance, when the country is invaded by bandits, the king, before sending his soldiers to destroy them, should first know where they are. That which causes you to transmigrate without interruption, comes from defects in your mind and eyes. Now tell me where your mind and eyes are."...\nFundamentally, everything that comes and goes, that comes into being and ceases to be, is within the true nature of the Matrix of the Thus-Come One, which is the wondrous, everlasting understanding — the unmoving, all-pervading, wondrous suchness of reality.\nYou arose from your deep thought and observe your surrounding in a new light, as you reminded of this verse you recall the Buddha's myraid response of the falsehoods of perception which mares the beauty of perfected wisdom and dharma. You peacefully wonder whether as King you have let your world-weary perceptions cloud your judgement...;;;;;;;;;;;;;x
MAHAYANA_SUTRA_2;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n\n"Then the Venerable One said to Ananda, “Tell me, Ananda, whether
some god urged you to put this question to the Buddha or whether you asked about his glorious countenance from your own wise observation.” Ananda replied to the Buddha, “No god came to prompt me. I asked you about this matter of my own accord.”...\n\nYou arose from your deep thought and observe your surrounding in a new light, Boddhi Ananda on his own will presented before the most auspicous the dilemma of the Compassion of Sentinent Beings. And his excellence laid before Anada the truth of Dhamma and Tathagata... of which you believe may answer at least for the time-being your personal struggle of Kingship. For A compassionate ruler rules true and in accordance to [Root.Religion.GetHighGodName] by respecting and honoring signs of compassion in their subject and must act to correct those who turn away compassion for the pursuit of proclaiming themselves gods of empty pleasures.;;;;;;;;;;;;;x
MAHAYANA_SUTRA_3;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n\n"Bodhisattvas who practice, the Insight that Brings Us to the Other Shore see no more obstacles in their mind, and because there are no more obstacles in their mind, they can overcome all fear, destroy all wrong perceptions and realize Perfect Nirvana... All Buddhas in the past, present and future by practicing the Insight that Brings Us to the Other Shore are all capable of attaining Authentic and Perfect Enlightenment... Gate, Gate, Paragate, Parasamgate, Bodhi Svaha!"\nYou arose from your deep thought and observe your surrounding in a new light, what has gripped you was the feeling of the void of desire, the shaker of truth, fear itself. You recall the six fears as told by the Auspicious One to Anada before in view of the Venerable King of Gesar. By Purging doubt and fear one can touch to the "Heart" of Perfect Wisdom as the Thus-Gone One had in times long gone and to come...;;;;;;;;;;;;;x
MAHAYANA_SUTRA_4;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n\n“Blessed One, I ask this of the Thus-Gone One on behalf of bodhisattvas who dwell on the levels and swiftly bring the level of buddhahood to culmination, who actualize the inconceivable perfection through skillful means, who develop with little hardship the inconceivable skill as a means to bring beings to maturity, and who practice in order to manifest wisdom that will eradicate beings’ nonvirtuous qualities and foster their virtuous qualities, serve the family line of the Omniscient One, and lead countless thousands of beings to the level where one is destined for unsurpassed and perfect buddhahood. Blessed One, I ask this on behalf of those who teach the path of awakening to sentient beings and bodhisattvas and who delight in the qualities of buddhahood."\nYou arose from your deep thought and observe your surrounding in a new light, you wonder whether what you were lacking was introspection of your own path to buddhahood, you stand renewed in cultivating within yourself the eight noble truths to vanquish the empty pleasures.;;;;;;;;;;;;;x
EVTOPT_praise_buddha;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
budevent3_title;An Auspicious Sutra;;;;;;;;;;;;;x
THEREVADA_SUTRA_1;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n\n"Those who always dwell in mindfulness,\nObserving measure in the food they eat,\nFind that their discomfort grows the less.\nAging gently, life for them is long."\n\nYou arose from your deep thought and observe your surrounding in a new light, renewed in your vigor to live in accordance to [Root.Religion.GetHighGodName].;;;;;;;;;;;;;x
THEREVADA_SUTRA_2;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n\n"But when a person discerns the origination, ending, allure, drawbacks of, and escape from the sense input, he discerns what is higher than all views."\n\nYou arose from your deep thought and observe your surrounding in a new light, learning a great lesson about overcoming rhetoric so that you may shape the world in better balance and live in accordance to [Root.Religion.GetHighGodName].;;;;;;;;;;;;;x
THEREVADA_SUTRA_3;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n"Thus, friends, from goods not being distributed to the needy, poverty grew rife, from poverty growing rife stealing increased, from the spread of stealing violence grew apace, from the growth of violence the destruction of life became common, from the frequency of murder lying grew common, from lying growing common, evil speaking grew abundant, from evil speaking growing abundant, adultery grew common, from adultery growing common abusive and idle talk grew common, from abusive and idle talk growing common, covetousness and ill-will grew common, from covetousness and ill-will growing common, false opinions grew common, from false opinions growing common, incest, wanton greed and perverted lust grew common, finally from incest, wanton greed and perverted lust growing common lack of filial and religious piety and lack of regard for the head of the family grew great."\nYou arose from your deep thought and observe your surrounding in a new light, as [Root.GetTitle] you must learn to be a justice ruler and exact due justice upon those that shun away from [Root.Religion.GetHighGodName];;;;;;;;;;;;;x
THEREVADA_SUTRA_4;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n"Just as the minter, or an apprentice of his, knows, on holding up a scale, that by so much it has dipped down, by so much it has tilted up. Even so a householder, knowing his income and expenses leads a balanced life, neither extravagant nor miserly, knowing that thus his income will stand in excess of his expenses, but not his expenses in excess of his leads a balanced life."\n\nYou arose from your deep thought and observe your surrounding in a new light, perhaps it is time for you to be humbled by what you have and to balance your life according to the scales of [Root.Religion.GetHighGodName] for which you should always be mindful of.;;;;;;;;;;;;;x
budevent4_title;An Auspicious Sutra;;;;;;;;;;;;;x
#THEOBUDDHIST_SUTRA_1
#THEOBUDDHIST_SUTRA_2
#THEOBUDDHIST_SUTRA_3
#THEOBUDDHIST_SUTRA_4
EVTOPT_praise_theoist;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
budevent5_title;An Auspicious Sutra;;;;;;;;;;;;;x
TIBETAN_SUTRA_1;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n\n"He who leads all worldly beings to tread the path of liberation, the teacher of all dharmas- He will bring you well-being."\nYou arose from your deep thought and observe your surrounding in a new light, you are comforted to consider the Auspicious Ones great mercy for all sentient beings, perhaps this gentle peace he felt in the pure bless of enlightment can inform your earthly kingship in the eyes of your subjects...;;;;;;;;;;;;;x
TIBETAN_SUTRA_2;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n\n"The protector who, with thoughts of love for all these beings, sustains them always just as he would his only child- He will bring you well-being."\nYou arose from your deep thought and observe your surrounding in a new light, much as it is the fathers duty to protect his child it wise that a ruler must nuture enlightment through his good judgement.;;;;;;;;;;;;;x
TIBETAN_SUTRA_3;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n\n"The alluring one who defeated all the extremists with the Dharma and brought all assemblies under his influence- He will bring you well-being."\nYou arose from your deep thought and observe your surrounding in a new light, as a King you must judge those who seek great excess of pleasures with impunity for they harbor within the gnawing void of desire which will rapture them to the endless cycle of Samsara.;;;;;;;;;;;;;x
TIBETAN_SUTRA_4;Before you lays a most auspicious sutra, you slowly mouth the words of the sutra before you:\n\n"He whose birth, when this whole earth with all its forests shook and trembled, Brought joy for every living creature..."\nYou arose from your deep thought and observe your surrounding in a new light, you recall the endless debate with the lamas regarding the Buddha's life purpose born into luxury and break his palace of pleasure by committing strenously to be birth again renewed and apart from the endless cycle of Samsara, as a King perhaps it is time to cultivate the desire to break your limitations as to ascend ten-fold to be one in understanding with the Most Auspicious One and Dhamma...;;;;;;;;;;;;;x
budevent6_title;Return to Courtly Affairs;;;;;;;;;;;;;x
budevent6_desc;You awake in the morning with a great weight lifted from you... Your late-night meditation on the Buddha's Word has transformed your doubts to new vigor. You greeted your court with an auspicious welcoming. Stunned by the change of your disposition your court attendants say to you: "My [Root.GetTitle], you seem to be gleaming with a great radiance which we have yet seen!" you say unto them...;;;;;;;;;;;;;x
EVTOPTA_budevent6;"[Root.Religion.GetHighGodName] is compassion!";;;;;;;;;;;;;x
EVTOPTB_budevent6;"[Root.Religion.GetHighGodName] is reason!";;;;;;;;;;;;;x
EVTOPTC_budevent6;"[Root.Religion.GetHighGodName] is glorious!";;;;;;;;;;;;;x
EVTOPTD_budevent6;"[Root.Religion.GetHighGodName] is sublime!";;;;;;;;;;;;;x
